电影导演,电影评分,电影名字,电影演员,电影封面,电影详细链接,电影类型,电影制片国家,语言,电影上映时间,电影片长,短评个数,星级,电影简介,"电影短评(短评用户, 短评评分,短评时间)",图片列表,预告片链接
格蕾塔·葛韦格,8.1,芭比,"玛格特·罗比,瑞恩·高斯林,亚美莉卡·费雷拉,阿丽亚娜·格林布拉特,凯特·麦克金农,海伦·米伦,威尔·法瑞尔,伊萨·雷,哈莉·尼夫,艾玛·麦基,亚历山德拉·希普,莎朗·鲁妮,妮可拉·考夫兰,迈克尔·塞拉,康纳·斯温德尔,舒提·盖特瓦,刘思慕,金斯利·本-阿迪尔,斯科特·埃文斯,杜阿·利帕,约翰·塞纳,雷亚·普尔曼,里图·阿亚,安娜·科鲁兹·凯恩,埃默拉尔德·芬内尔,詹米·德米特鲁,安·罗斯,玛瑞萨·阿贝拉,妮基塔·查达哈,安妮·玛莫罗,麦肯纳·罗伯茨,汉娜·卡利克-布朗,斯特林·琼斯,黛布·海特,杰西卡·A·凯撒,卢克· 穆伦,杰拉德琳·切瓦蕾,拉姆赞·米亚,贾斯汀·皮尔斯,凯莉·里安·桑松,埃文·沙夫兰",https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2895679456.jpg,https://movie.douban.com/subject/4058939,"喜剧,奇幻,冒险","美国,加拿大",英语,2023-07-21(美国/中国大陆)2023-07-09(洛杉矶首映),114分钟,228929,36.0%39.2%19.8%3.6%1.4%,在梦幻浪漫的芭比乐园里，美丽自信的芭比们每日过着快乐无忧的生活，她们活跃在每一个工作岗位，肯是点缀，女孩的聚会才至关重要。直到某一天，我们的主角芭比（玛格特·罗比 Margot Robbie 饰）突然提到了生死，她的完美生活毫无征兆发生改变。她的口气不再清新，面容开始犹豫憔悴，也无法轻盈地从顶楼飘落下来。经前辈点播，她意识到人类世界某个人和她建立着联系，而那个人的心境似乎正投射到芭比的身上来。为了找回曾经的完美生活，芭比和肯（瑞恩·高斯林 Ryan Gosling 饰）辗转来到现实世界，并经过一番波折见到了葛洛莉娅（亚美莉卡·费雷拉 America Ferrera 饰）母女，而肯也在见识到男权社会的魅力之后，心中升起要改变芭比乐园的念头……,"[{'短评内容': '“肯在芭比乐园获得的职位，会和女性在现实世界中获得的职位一样多” ', '短评用户': 'Mintcream', '短评时间': '2023-07-21 13:37:40'}, {'短评内容': '泼盆冷水，并没有宣传中说的那么精彩，对父权的解构和讽刺远没有想象中深刻，不如说还是停留在很浅显的girls can do anything和find yourself这种层面。芭比这个形象中最争议的是否加剧了女性的容貌焦虑这一点几乎没有任何提及，我看来本质还是相当老生常谈的内核，只是换上了updated的表达方法。但考虑到好莱坞一贯的保守+商业至上，只能说这是一次在世界最逐利的电影工业体系中一次关...', '短评用户': '核仁烤排骨', '短评时间': '2023-07-21 11:40:04'}, {'短评内容': '我以为得多激进呢，结果就这？这也值得破防？防线水平和中国男足齐平，啥都承受不住。', '短评用户': '阿嚏atiiiii', '短评时间': '2023-07-22 19:05:55'}, {'短评内容': '要知道中国女人在电影院看一部高纯度女性视角爽片的机会可不多', '短评用户': 'Malaimo', '短评时间': '2023-07-21 18:52:29'}, {'短评内容': '那么荒谬，又那么真实；那么童话，又那么背书；那么爆笑，又那么戳人。女孩们，快带直男们进电影院，映后给他讲解吧，不比他向你解析《教父》为什么是科波拉最牛的作品强吗！', '短评用户': '豆瓣路人己', '短评时间': '2023-07-18 23:29:20'}]",https://img1.doubanio.com/img/trailer/medium/2896228460.jpg,https://vt1.doubanio.com/202310312318/c8e94ae58656392b732aae9ce09851b5/view/movie/M/403070980.mp4
苏亮,6.1,学爸,"黄渤,单禹豪,闫妮,张钧甯,张子贤,万茜,王迅,吴磊,王子铭,杨曼聆,泰勒,张磊,杨新鸣,王庆祥,傅首尔,倪虹洁,孔连顺",https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2896597470.jpg,https://movie.douban.com/subject/35392725,"剧情,喜剧",中国大陆,"汉语普通话,英语",2023-08-18(中国大陆),118分钟,24469,8.5%18.9%47.7%20.4%4.6%,雷大力（黄渤 饰）为了让儿子雷小米（单禹豪 饰）能够拥有更高的人生起点，在单亲妈妈刘真真（闫妮 饰）的带领下，被迫卷入了“幼升小”的激烈角逐。又在火哥（张子贤 饰）和火嫂（万茜 饰）的影响下，不惜倾尽所有购入学区房，重重压力让父子二人的生活变得不堪一击。雷小米小姨（张钧甯 饰）的出现，又让雷大力领悟了“拼娃”的本质是“拼父母”……面对残酷的现实，父子的生活困境应该如何破局？几组家庭又将做出怎样的人生抉择？,"[{'短评内容': '恐婚恐育宣传片', '短评用户': 'm○m○', '短评时间': '2023-08-18 20:17:47'}, {'短评内容': '前面喜剧部分看得还能让人一乐呵，到后面走心的部分反而显得很荒谬了。首先黄渤这个爹从佛系到开始鸡娃，这个人物转变铺垫的就不够啊，一直被情节推着走，但是动机却不太让人信服。其次他家怎么说在本地也是个小中产了，房子说买就买编钟说学就学，这样一个阶级的人会不懂“鸡娃就是鸡自己”的道理？最后，雷大力放弃鸡娃的原因是什么？是他意识到自己能力的不足，是他“没法卷”，而不是“不想卷”。这其实点破了当下社会的一个割...', '短评用户': '朝阳区妻夫木聪', '短评时间': '2023-08-18 23:25:58'}, {'短评内容': '结局也太离谱了，五七三十五都背不会的笨娃是不可能基因突变变成尖子生的，国际学校更不会因为父爱无穷大就能给你孩子一个名额。教育原本就是阶层的另一种显性呈现，固化得很。人可以有梦想的权利，但不能太离谱。片中的别扭也很真实就是了，它存在于东亚社会的所有角落，既意识到卷是不对的、鸡娃是不对的，又还是忍不住给自己找借口继续卷、继续鸡。最后两个娃都变成了传统意义上的好学生，所以说终究还是逃脱不了单一的价值观啊...', '短评用户': '标本师库特', '短评时间': '2023-08-18 21:12:49'}, {'短评内容': '电影的内容很现实，题材贴近生活，以喜剧的方式展现了家长对孩子的教育观。父亲为儿子的教育，在求学路上所面临的挑战和困难而四处奔波的身影，都被这部电影刻画得淋漓尽致。每一个微小的情感都被黄渤的细腻表演鲜活地呈现出来，让人不禁为他的演技点赞，温情而不失幽默\n小鲤鱼一定要跃龙门吗？这个世界不止有江川湖海。只要他想、总会有一湾水让他好好活着。总之，生而平凡，也能有光。', '短评用户': '夏了個夏天', '短评时间': '2023-08-18 21:27:31'}, {'短评内容': '现在看这些所谓的国产现实题材创作，都特像看展，给你陈列一堆高度标签化的社会现象，当你刚想说“好了，知道了，然后呢”的时候，发现前方已经到出口了。\n\n如果说韩国电影在改变现实，那我们的电影则是用来肯定现实的。最近的三部《孤注一掷》《我经过风暴》《学爸》，结尾都是在告诉你，现在好了，政策下来了，你刚刚看见的事儿不会再发生了。\n\n每当一个时代急于展示它的成就（遮掩它的问题）时，物质的或精神的忆苦饭就会开...', '短评用户': '子戈', '短评时间': '2023-08-21 17:55:49'}]",https://img9.doubanio.com/img/trailer/medium/2897158146.jpg,https://vt1.doubanio.com/202310312318/d34aa91046e6c0f87397007b82f81292/view/movie/M/403080860.mp4
拜伦·霍华德,9.2,疯狂动物城,"金妮弗·古德温,杰森·贝特曼,伊德里斯·艾尔巴,珍妮·斯蕾特,内特·托伦斯,邦尼·亨特,唐·雷克,汤米·钟,J·K·西蒙斯,奥克塔维亚·斯宾瑟,艾伦·图代克,夏奇拉,雷蒙德·S·佩尔西,德拉·萨巴,莫里斯·拉马奇,菲尔·约翰斯顿,约翰·迪·马吉欧,凯蒂·洛斯,吉塔·雷迪,杰西·科尔蒂,汤米·利斯特,乔希·达拉斯,瑞奇·摩尔,凯斯·索西,彼得·曼斯布里奇,拜伦·霍华德,杰拉德·布什,马克·史密斯,乔西·特立尼达,约翰·拉维尔,克里斯汀·贝尔,吉尔·科德斯,梅利莎·古德温",https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2896589742.jpg,https://movie.douban.com/subject/25662329,"喜剧,动画,冒险",美国,"英语,挪威语",2016-03-04(中国大陆/美国)2020-07-24(中国大陆重映),109分钟(中国大陆),397625,66.4%28.9%4.4%0.2%0.1%,故事发生在一个所有哺乳类动物和谐共存的美好世界中，兔子朱迪（金妮弗·古德温 Ginnifer Goodwin 配音）从小就梦想着能够成为一名惩恶扬善的刑警，凭借着智慧和努力，朱迪成功的从警校中毕业进入了疯狂动物城警察局，殊不知这里是大型肉食类动物的领地，作为第一只，也是唯一的小型食草类动物，朱迪会遇到怎样的故事呢？近日里，城中接连发生动物失踪案件，就在全部警员都致力于调查案件真相之时，朱迪却被局长（伊德瑞斯·艾尔巴 Idris Elba 配音）发配成为了一名无足轻重的交警。某日，正在执勤的兔子遇见了名为尼克（杰森·贝特曼 Jason Bateman 配音）的狐狸，两人不打不相识，之后又误打误撞的接受了寻找失踪的水獭先生的任务，如果不能在两天之内找到水獭先生，朱迪就必须自愿离开警局。朱迪找到了尼克，两人联手揭露了一个隐藏在疯狂动物城之中的惊天秘密。,"[{'短评内容': '看过了这一部，我好像能够更坚定地说我会当迪士尼一辈子的粉丝。迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。', '短评用户': '悄悄', '短评时间': '2016-03-01 16:55:31'}, {'短评内容': '无论是人设，世界观，动画制作，还是剧本，都挑不出毛病来啊啊啊！！细节多到爆！！好幸福！！！！>w< 最难能可贵的是配角们的人物性格和形象设置都非常饱满（教父梗好惊喜>< ） 虽然是动画，但是剧本还是隐射很多人类社会的种族问题，以及政治两党上位之争的问题。另外我狐Nick的眼神是在太苏了TwT...', '短评用户': 'Digit Fungi', '短评时间': '2016-02-26 04:20:45'}, {'短评内容': '完爆冰雪超能头脑，动物再次证明了动画片不止是给小朋友看的，而是全年龄段和世界级的，尖端数码特技、新意剧情、老梗新用搭配萌Q画风，乌托励志、搞笑温情、自然销魂、阴谋反转，用动物来映射人类，涉及种族歧视和两党斗争，无论从制作技术还是政治倾向或是社会意义来说，基本锁定今年奥斯卡最佳动画', '短评用户': '影评终结者', '短评时间': '2016-02-26 10:28:40'}, {'短评内容': '做冰棍那机智的不像话！！！全片最爱！！！想吃！！！', '短评用户': '羚羊的灵魂', '短评时间': '2016-02-23 22:03:30'}, {'短评内容': '不要看任何影评，如果可以预告片都别看，直接买票就好了。你要啥这电影里有啥！', '短评用户': '云淡风轻', '短评时间': '2016-03-04 03:40:45'}]",https://img1.doubanio.com/img/trailer/medium/2320148277.jpg,https://vt1.doubanio.com/202310312318/dbf0d2c4f9187ae388f93b52d4a4ca5d/view/movie/M/301910795.mp4
文牧野,9.0,我不是药神,"徐峥,王传君,周一围,谭卓,章宇,杨新鸣,王佳佳,王砚辉,贾晨飞,龚蓓苾,宁浩,李乃文,岳小军,苇青,富冠铭,巴拉特·巴蒂,喜利图,张海艳,朱耕佑",https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2561305376.jpg,https://movie.douban.com/subject/26752088,"剧情,喜剧",中国大陆,"汉语普通话,英语,上海话,印地语",2018-07-05(中国大陆)2018-06-30(大规模点映),117分钟,546978,58.8%33.7%6.9%0.5%0.2%,普通中年男子程勇（徐峥 饰）经营着一家保健品店，失意又失婚。不速之客吕受益（王传君 饰）的到来，让他开辟了一条去印度买药做“代购”的新事业，虽然困难重重，但他在这条“买药之路”上发现了商机，一发不可收拾地做起了治疗慢粒白血病的印度仿制药独家代理商。赚钱的同时，他也认识了几个病患及家属，为救女儿被迫做舞女的思慧（谭卓 饰）、说一口流利“神父腔”英语的刘牧师（杨新鸣 饰），以及脾气暴烈的“黄毛”（章宇 饰），几个人合伙做起了生意，利润倍增的同时也危机四伏。程勇昔日的小舅子曹警官（周一围 饰）奉命调查仿制药的源头，假药贩子张长林（王砚辉 饰）和瑞士正牌医药代表（李乃文 饰）也对其虎视眈眈，生意逐渐变成了一场关于救赎的拉锯战。本片改编自慢粒白血病患者陆勇代购抗癌药的真实事迹。,"[{'短评内容': '王传君所有不被外人理解的坚持，都在这一刻得到了完美释放。他不是关谷神奇，他是王传君。\n你看，即使依旧烂片如云，只要还有哪怕极少的人坚持，中国影视也终于还是从中生出了茁壮的根。\n我不是药神，治不好这世界。但能改变一点，总归是会好的。', '短评用户': '沐子荒', '短评时间': '2018-07-03 22:37:38'}, {'短评内容': '放在豆瓣语境下，是部时至今日终于拍出来的国产“高分韩国电影”。拿现实题材拍商业类型片，社会意义摆在那，群戏也处理得相当不错。对我们国家而言，这样的电影多一部是一部，走一步是一步。', '短评用户': '徐若风', '短评时间': '2018-06-06 15:57:09'}, {'短评内容': '这不是“中国版《达拉斯买家俱乐部》”，这是中国的真实事件改编的中国电影，是属于我们自己的电影，不知道就去百度一下“陆勇”。', '短评用户': '朝暮雪', '短评时间': '2018-06-30 17:40:18'}, {'短评内容': '最大的病，其实是穷病。真的被感动了，整体都很成熟，也有些许韩片的影子。几个演员表演都非常出色。可看性和内在的表达都不错。这个世界最荒诞在于，越贴近真实，真实越荒诞。人这一生，太不易了。最后，王传君，加油哦！', '短评用户': '桃桃林林', '短评时间': '2018-06-19 18:03:55'}, {'短评内容': '看了一下差评，基本是自诩为独立专业的几个影评人给的吧，果然又要说电影语言，商业媚俗之类，固然把这个题材拍成侯孝贤、蔡明亮那样，影评人会有高潮，但你们其实喜欢的是影院里就坐着你们两三个人那种感觉不是吗？没有这种电影，电影人在时代急速抛弃弱势群体的巨变中，就是完全失语的。', '短评用户': '袁牧', '短评时间': '2018-07-06 16:58:09'}]",https://img1.doubanio.com/img/trailer/medium/2527050797.jpg,暂无
李·昂克里奇,9.1,寻梦环游记,"安东尼·冈萨雷斯,盖尔·加西亚·贝纳尔,本杰明·布拉特,阿兰娜·乌巴赫,芮妮·维克托,杰米·卡米尔,阿方索·阿雷奥,赫伯特·西古恩萨,加布里埃尔·伊格莱西亚斯,隆巴多·博伊尔,安娜·奥菲丽亚·莫吉亚,娜塔丽·科尔多瓦,赛琳娜·露娜,爱德华·詹姆斯·奥莫斯,索菲亚·伊斯皮诺萨,卡拉·梅迪纳,黛娅娜·欧特里,路易斯·瓦尔德斯,布兰卡·阿拉切利,萨尔瓦多·雷耶斯,切奇·马林,奥克塔维·索利斯,约翰·拉森贝格",https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2896589968.jpg,https://movie.douban.com/subject/20495023,"喜剧,动画,音乐,奇幻",美国,"英语,西班牙语",2017-11-24(中国大陆)2020-07-20(中国大陆重映)2017-11-22(美国),105分钟,436181,62.3%30.3%6.8%0.4%0.2%,热爱音乐的米格尔（安东尼·冈萨雷兹 Anthony Gonzalez 配音）不幸地出生在一个视音乐为洪水猛兽的大家庭之中，一家人只盼着米格尔快快长大，好继承家里传承了数代的制鞋产业。一年一度的亡灵节即将来临，每逢这一天，去世的亲人们的魂魄便可凭借着摆在祭坛上的照片返回现世和生者团圆。在一场意外中，米格尔竟然穿越到了亡灵国度之中，在太阳升起之前，他必须得到一位亲人的祝福，否则就将会永远地留在这个世界里。米格尔决定去寻找已故的歌神德拉库斯（本杰明·布拉特 Benjamin Bratt 配音），因为他很有可能就是自己的祖父。途中，米格尔邂逅了落魄乐手埃克托（盖尔·加西亚·贝纳尔 Gael García Bernal 配音），也渐渐发现了德拉库斯隐藏已久的秘密。,"[{'短评内容': '广州试片会。主持人在现场透露：Coco原本涉及到亡灵题材，是不能引进的。但是在过审时，当场看哭了所有广电审查人员，so破例让过了。。。', '短评用户': '下雪了没有', '短评时间': '2017-11-20 13:30:34'}, {'短评内容': '供奉的遗像是牵引家人回家的通道，驻留的记忆是保持亡灵存续的神力，热闹的音乐是唤醒思念启封的药引。我为你写了首歌，穿越浩瀚的岁月烟尘，捱过冰冷的孤独冬季，横跨漫长的天人之路，在你老去的时候，唱给你听。这瑰丽的灯火万家，摇曳的烛光千盏，不如你梳着麻花辫坐在床头时，眼里闪烁的星光璀璨。', '短评用户': '西楼尘', '短评时间': '2017-11-20 23:01:54'}, {'短评内容': '邻座的女孩哭倒在我怀里啊电影多么美妙！', '短评用户': 'r', '短评时间': '2017-11-17 16:21:08'}, {'短评内容': '我们是人类的一分子，而人类是充满激情的。医学、法律、商业、科技，这些都是崇高的追求，足以支撑人的一生。但音乐、诗歌、梦想、情感，这些才是我们活着的意义。', '短评用户': '美嘉.rar', '短评时间': '2017-11-16 16:09:05'}, {'短评内容': '老人不图儿女为家做多大贡献呀，一辈子不容易就图个团团圆圆。皮克斯替蔡国庆唱了回春晚。', '短评用户': 'shininglove', '短评时间': '2017-11-26 19:25:14'}]",https://img2.doubanio.com/img/trailer/medium/2503865492.jpg,https://vt1.doubanio.com/202310312318/c94965bb6874c241c5a76ed0afc1190c/view/movie/M/302230405.mp4
贾玲,7.7,你好，李焕英,"贾玲,张小斐,沈腾,陈赫,刘佳,丁嘉丽,王琳,杜源,何翯,何欢,韩云云,包文婧,葛珊珊,史策,黄小猫,许君聪,卜钰,刘宏禄,魏翔,孙集斌,张泰维,郭宇鹏,朱天福,王宇,冯巩,乔杉,王小利,宋晓峰,董若溪,曹贺军,赵婷婷,姬晴,郭祥鹏,李一峰,潘斌龙",https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2629056068.jpg,https://movie.douban.com/subject/34841067,"剧情,喜剧,奇幻",中国大陆,汉语普通话,2021-02-12(中国大陆),128分钟,538999,23.5%44.9%27.2%3.6%0.9%,一场意外，改变了一对母女的命运。病床上的母亲李焕英（刘佳 饰）昏迷不醒，女儿贾晓玲（贾玲 饰）涕泗横流，唯恐与母亲阴阳两隔。恍惚之中，晓玲突然穿越到久远以前的陌生时代，并在那里意外邂逅尚待字闺中的青年李焕英（张小斐 饰）。在此之后，晓玲以远亲相称，成为妈妈形影不离的好姐妹。许是见证了妈妈数十年来的劳苦辛酸，晓玲希望通过努力改变妈妈的命运，让她变成一个幸福快乐、富足无忧的女人。而一系列搞笑、感人的小故事，就围绕这对姐妹花母女展开……本片根据贾玲取材自身经历创作的同名小品改编。,"[{'短评内容': '有笑有泪的，不明白陈赫这个人物有什么作用，完全多余', '短评用户': '稻草上的小僵尸', '短评时间': '2021-02-12 10:22:31'}, {'短评内容': '贾玲：我给你们讲个笑话，你们别哭。', '短评用户': 'Augenstern', '短评时间': '2021-02-12 10:10:39'}, {'短评内容': '这次感受注定是感性压倒理性的，所以就不打分了。\n贾玲还是适合做小品，她的表演方式、她的叙事能力都更适合能和观众互动的、短小精炼的舞台而不是要被观众一帧一帧检视的电影。更何况她非科班出身，参与电影项目也不多，要执导筒讲故事就更是自曝其短。\n这是一部非常开心麻花式的片子，如果你喜欢《夏洛特烦恼》那么可以去看看，如果是抱着宁浩电影的期待那就赶紧睡个回笼觉，或者喝杯咖啡把瞌睡醒醒。\n但说一千道一万，《你好...', '短评用户': '大隐隐于没注销', '短评时间': '2021-02-12 13:00:53'}, {'短评内容': '国产+喜剧+催泪＝烂片，这是豆瓣一贯的风气，因此我知道自己的评分一定不会公允，这里有掺杂太多我的主观感受：有生以来第一次在电影院哭得泣不成声。\n昨晚是除夕，我和妈妈大吵了一架。她气得直骂我没良心、白眼狼，我爸也心寒地把我妈牵到楼下，说不指望以后让我给他们养老。\n凌晨的时候，我给我妈朋友圈的拜年视频点了个赞，并发给她一个拜年红包，和她说“今晚我脾气不好，你别往心里去”我妈收下红包，给我发来好多幸福快...', '短评用户': '温岭阿浪', '短评时间': '2021-02-12 10:58:36'}, {'短评内容': '跟唐人街探案三的分数相比，很明显观众们评判电影的标准不仅在于你拍的好坏，而更在于你拍的态度是否真诚', '短评用户': '停止狡辩', '短评时间': '2021-02-13 22:32:07'}]",https://img2.doubanio.com/img/trailer/medium/2632578091.jpg,暂无
彼得·法雷里,8.9,绿皮书,"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼,塞巴斯蒂安·马尼斯科,迪米特·D·马里诺夫,迈克·哈顿,P·J·伯恩,乔·柯蒂斯,玛姬·尼克松,冯·刘易斯,乔恩·索特兰,唐·斯达克,安东尼·曼加诺,保罗·斯隆,珍娜·劳伦索,肯尼斯·以色列,伊克博·塞巴,尼克·瓦莱隆加,大卫·安,迈克·切罗内,杰拉尔丁·辛格,马丁·巴特斯·布拉德福德,格拉伦·布莱恩特·班克斯,汤姆·维图,夏恩·帕特洛,丹尼斯·W·霍尔,吉姆·克洛克,戴恩·罗兹,布赖恩·斯特帕尼克,乔恩·迈克尔·戴维斯,布莱恩·库瑞,托尼亚·马尔多纳多",https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2531065411.jpg,https://movie.douban.com/subject/27060077,"剧情,喜剧,音乐,传记","美国,中国大陆","英语,意大利语,俄语,德语",2019-03-01(中国大陆)2018-09-11(多伦多电影节)2018-11-16(美国),130分钟,399798,55.0%37.4%7.1%0.4%0.1%,托尼（维果·莫腾森 Viggo Mortensen 饰）是一个吊儿郎当游手好闲的混混，在一家夜总会做侍者。这间夜总会因故要停业几个月，可托尼所要支付的房租和生活费不会因此取消，所以他的当务之急是去寻找另一份工作来填补这几个月的空缺。在这个节骨眼上，一位名叫唐雪莉（马赫沙拉·阿里 Mahershala Ali 饰）的黑人钢琴家提出雇佣托尼。唐雪莉即将开始为期八个星期的南下巡回演出，可是，那个时候南方对黑人的歧视非常的严重，于是托尼便成为了唐雪莉的司机兼保镖。一路上，两人迥异的性格使得他们之间产生了很多的矛盾，与此同时，唐雪莉在南方所遭受的种种不公平的对待也让托尼对种族歧视感到深恶痛绝。,"[{'短评内容': '我这个鄙俗粗蛮的小可爱就要撬开您那森严优雅而又防备的世界。', '短评用户': 'JulyChan', '短评时间': '2019-01-14 12:47:12'}, {'短评内容': '让人印象最深的片段是他们的车在南部的乡间小路上抛锚，和田里劳作的黑奴对视的那一幕，无声却发出巨响。', '短评用户': '陈大希', '短评时间': '2019-01-13 11:39:48'}, {'短评内容': '肤色对调版《触不可及》，一场跨越美国的公路之旅，更是一场跨越种族与肤色、身份与阶层的人性之旅。\n所有下属都对唐毕恭毕敬，唯有托尼把他当普通人对待，给他吃炸鸡、对他说出真实想法。\n不把他当成黑人，才是真正不歧视他的表现。\n另一方面，唐又受到外人的歧视和侮辱，他始终忍气吞声，低声下气。\n听他演奏的观众可以在餐厅吃饭，而他作为表演者却不可以。\n正是托尼教会他反击，教会他为自己发声、捍卫自己的权利和尊严。...', '短评用户': '朝暮雪', '短评时间': '2019-01-17 11:49:44'}, {'短评内容': '绝对是今年tiff我看过的最有意思的一部电影，全场笑声掌声就没停过。节奏欢快，情节有趣又不失深度。V叔扮演的来自Bronx街头的意大利裔司机和Ali扮演的受高等教育的黑人音乐家碰撞出令人惊喜的火花，二人从纽约一路向南巡演，然而越向南种族歧视也越来越严重。导演用一种巧妙的角度向观众展示了当时的不公以及音乐家内心的纠葛。尽管他从小就在不同的重要场合表演，然而最尽兴的一次却是在圣诞前夕的一个黑人小酒吧。...', '短评用户': 'Rocrw', '短评时间': '2018-09-12 08:48:30'}, {'短评内容': '肯德基年度推广大电影', '短评用户': '根', '短评时间': '2019-03-01 14:36:16'}]",https://img9.doubanio.com/img/trailer/medium/2549239616.jpg,暂无
饺子,8.4,哪吒之魔童降世,"吕艳婷,囧森瑟夫,瀚墨,陈浩,绿绮,张珈铭,杨卫",https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2563780504.jpg,https://movie.douban.com/subject/26794435,"剧情,喜剧,动画,奇幻",中国大陆,汉语普通话,2019-07-26(中国大陆)2019-07-13(大规模点映),110分钟,625460,42.3%39.1%15.6%2.2%0.8%,天地灵气孕育出一颗能量巨大的混元珠，元始天尊将混元珠提炼成灵珠和魔丸，灵珠投胎为人，助周伐纣时可堪大用；而魔丸则会诞出魔王，为祸人间。元始天尊启动了天劫咒语，3年后天雷将会降临，摧毁魔丸。太乙受命将灵珠托生于陈塘关李靖家的儿子哪吒身上。然而阴差阳错，灵珠和魔丸竟然被掉包。本应是灵珠英雄的哪吒却成了混世大魔王。调皮捣蛋顽劣不堪的哪吒却徒有一颗做英雄的心。然而面对众人对魔丸的误解和即将来临的天雷的降临，哪吒是否命中注定会立地成魔？他将何去何从？,"[{'短评内容': '卧槽居然看哭了，这才是货真价实的国漫新希望，终于不再是假大空的中国风堆砌，而开始借神话寓言塑造真正的“小人物”。背负原罪的出身，命中注定的死期，对存在的笃定和身份的动摇，竟指向《刺客聂隐娘》的内核：一个人，没有同类。完整的世界观构建，父子母子师徒兄弟友敌，每一段关系都处理的有血有肉全无敷衍。美术剪辑配乐动作设计，处处都是亮点，就连喜剧部分也绝非装疯卖傻而存在无数细节作为支撑。海边夕阳踢毽和社稷图虚...', '短评用户': '嘟嘟熊之父', '短评时间': '2019-07-13 17:17:05'}, {'短评内容': '年度最佳动画，不，年度最佳影片，剧作上的成熟应该让同档期的《狮子王》跪下来叫爸爸，起承转合水到渠成且饱含情感力量，这种成熟度不管是在动画这种形式里还是脱离动画都值得所有国产商业电影学习。整部影片看下来，在形式上非常现代化，包括笑点台词都贴近现代网络化的生活，是谓形散，但是影片把握住了哪吒这个神话人物的内在精神：我命由我不由天，并且自始至终都贯彻下去，是谓神不散，包括反派敖丙及申公豹都人物弧光饱满，...', '短评用户': '天马星', '短评时间': '2019-07-14 18:12:22'}, {'短评内容': '看到海报和预告片，人们第一反应就是：哪吒太丑了。\n觉得丑就对了，因为本片讲的就是打破偏见。\n正如很多人一看这是国漫，就不看了；或者去看了，看了觉得还不错也要自动先扣20分。\n电影之中，骂哪吒是政治正确，只要你说哪吒是妖怪，就会有人跟着说；\n电影之外，骂国产片、国漫也成了政治正确，只要你骂它，就会有人给你点赞。\n其实哪吒不是妖怪，他也想降妖除魔洗清骂名；\n国漫也不都是烂片，也有人想拍一部佳作证明自己...', '短评用户': '朝暮雪', '短评时间': '2019-07-18 13:53:20'}, {'短评内容': '邓超救不起这暑期档，哪吒可以。', '短评用户': '凹凸', '短评时间': '2019-07-18 21:38:41'}, {'短评内容': '讽刺的是，尽管角色口口声声说着“做自己”、“我命由己不由天”、“最害人的是成见”，电影却依然一直在用对肥胖、结巴、娘娘腔等特征产生的成见制造无价值，且一点都不好笑的笑料。', '短评用户': '字母君', '短评时间': '2019-07-14 01:57:27'}]",https://img1.doubanio.com/img/trailer/medium/2563785397.jpg,暂无
